,input,output
0,"['Action', 'Drama', 'War']","Summary: Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam', 'Kirti Kulhari', 'Rajit Kapoor', 'Ivan Rodrigues', 'Manasi Parekh', 'Swaroop Sampat', 'Riva Arora', 'Yogesh Soman', 'Fareed Ahmed', 'Akashdeep Arora', 'Kallol Banerjee', '']"
1,['War'],"Summary: The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.['Vicky Ahuja', 'Shoaib Ibrahim', 'Shrikant Kamat', 'Elena Kazan', 'Vishwas Kini', 'Major Kishore', 'Jashn Kohli', 'Rammy C. Pandey', 'Manish Sharma', 'Sparsh Sharma', 'Farnaz Shetty', 'Vikas Shrivastav', 'Chandraprakash Thakur', 'Brajesh Tiwari', '']"
2,"['Biography', 'Drama']","Summary: Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.['Anupam Kher', 'Akshaye Khanna', 'Aahana Kumra', 'Atul Sharma', 'Manoj Anand', 'Arjun Mathur', 'Suzanne Bernert', 'Abdul Quadir Amin', 'Bharat Mistri', 'Divya Seth', 'Anil Rastogi', 'Ramesh Bhatkar', 'Parrgash Kaur', 'Jess Kaur', '']"
3,"['Crime', 'Drama']","Summary: The movie focuses on existing malpractices in country's education system  the whole concept of buying your way through education  jobs and earnings. Even with an evolving education system  ...                    ['Emraan Hashmi', 'Shreya Dhanwanthary', 'Snighdadeep Chatterji', 'Navneet Srivastava', 'Nanda Yadav', '']"
4,['Drama'],"Summary: Under the 'Evening Shadows'  truth often plays hide and seek. Set in South India and Mumbai  'Evening Shadows' is a tender heartwarming story about a mother-son bond that has to withstand the ravages of time  distance and truths.['Mona Ambegaonkar', 'Ananth Narayan Mahadevan', 'Devansh Doshi', 'Arpit Chaudhary', 'Yamini Singh', 'Abhay Kulkarni', 'Veena Nair', 'Disha Thakur', 'Kala Ramanathan', 'Sushant Divgikar', '']"
5,['Drama'],"Summary: While fighting crimes against women in Delhi  a short-fused policewoman and her level-headed female boss grapple with gender issues in their own lives.['Geetika Vidya Ohlyan', 'Saloni Batra', 'Vikas Shukla', 'Mohit Chauhan', 'Himanshu Kohli', 'Gauri Chakraborty', 'Mohinder Gujral', 'Upasya Goswami', 'Simrat Kaur', 'Dimple Kaur', 'Prateek Pachori', 'Kalpana Jha', 'Samar', '']"
6,"['Comedy', 'Drama']","Summary: Fraud Saiyyan is the story of a con artist in North India who convinces women to marry him just so he can live off their money.['Arshad Warsi', 'Saurabh Shukla', 'Flora Saini', 'Sara Loren', 'Varun Badola', 'Deepali Pansare', 'Nivedita Tiwari', 'Peeyush Suhaney', 'Preeti Sood', 'Parag Tyagi', 'Anangsha Biswas', 'Amanda Rosario', 'Elli Avrram', '']"
7,"['Comedy', 'Crime', 'Drama']","Summary: It follows the story of Meghna  who gets embroiled in a series of events after her phone gets stolen.['Radhika Apte', 'Akshay Oberoi', 'Siddhanth Kapoor', 'Ravi Kishan', 'Adil Hussain', 'Shilpa Shukla', 'Ajinkya Deo', 'Amit Sial', '']"
8,"['Action', 'Biography', 'Drama']","Summary: Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.['Kangana Ranaut', 'Rimi Sen', 'Atul Kulkarni', 'Nalneesh Neel', 'Danny Denzongpa', 'Mishti', 'Kulbhushan Kharbanda', 'Mohammed Zeeshan Ayyub', 'Anil George', 'Vikram Kochhar', 'Edward Sonnenblick', 'Ankita Lokhande', 'Richard Keep', 'Jishu Sengupta', '']"
9,"['Biography', 'Drama']","Summary: Biographical account of Shiv Sena Supremo  Balasaheb Thackeray.['Nawazuddin Siddiqui', 'Amrita Rao', 'Abdul Quadir Amin', 'Sanjay Narvekar', 'Prakash Belawadi', 'Vineet Sharma', 'Radha Sagar', 'Sonamoni Jayant Gadekar', 'Satish Alekar', 'Micky Makhija', 'Nikhil Mahajan', 'Resh Lamba', 'Jaywant Wadkar', 'Laxman Singh Rajput', '']"
